"","i_qp_.stars","i_qp_.amidine","i_qp_.rotor","i_qp_.rtvFG","i_qp_CNS","r_qp_dipole","r_qp_SASA","r_qp_FOSA","r_qp_FISA","r_qp_PISA","r_qp_WPSA","r_qp_volume","r_qp_donorHB","r_qp_accptHB","r_qp_dip.2.V","r_qp_ACxDN..5.SA","r_qp_glob","r_qp_QPpolrz","r_qp_QPlogPC16","r_qp_QPlogPoct","r_qp_QPlogPw","r_qp_QPlogPo.w","r_qp_QPlogS","r_qp_CIQPlogS","r_qp_QPlogHERG","r_qp_QPPCaco","r_qp_QPlogBB","r_qp_QPPMDCK","r_qp_QPlogKp","r_qp_IP.eV.","r_qp_EA.eV.","X.metabol","r_qp_QPlogKhsa","i_qp_HumanOralAbsorption","r_qp_PercentHumanOralAbsorption","r_qp_SAfluorine","r_qp_SAamideO","r_qp_PSA","i_qp_RuleOfFive","i_qp_RuleOfThree","r_qp_Jm"
"572",0,0,7,0,-2,1.059,632.88,175.808,136.284,288.282,32.506,1111.814,1,5.25,0.0010092,0.0082954,0.8200964,36.599,11.978,16.432,9.233,3.578,-4.891,-5.337,-5.818,505.26,-1.13,356.41,-2.344,8.367,0.97,5,0.319,3,96.285,0,0,92.825,0,0,0.0208202847758856
"573",0,0,7,0,-1,1.098,615.11,188.479,120.184,271.164,35.283,1101.068,1,5.25,0.0010958,0.0085351,0.8383426,36.006,11.678,16.196,8.965,3.621,-4.59,-5.337,-5.441,718.123,-0.912,539.757,-2.107,8.417,0.902,5,0.298,3,100,0,0,90.419,0,0,0.0717138276375667
"574",0,0,7,0,-2,2.667,632.076,174.462,135.905,289.021,32.688,1112.265,1,5.25,0.0063955,0.008306,0.8213618,36.624,11.986,16.52,9.234,3.586,-4.878,-5.337,-5.801,509.468,-1.121,360.45,-2.334,8.43,0.926,5,0.321,3,96.394,0,0,92.99,0,0,0.0219519003326877
"575",0,0,7,0,-1,4.061,637.812,177.053,121.474,296.218,43.068,1111.851,1,5.25,0.0148339,0.0082313,0.8137728,36.676,12.002,16.616,9.202,3.728,-5.024,-5.337,-5.958,698.174,-0.976,577.593,-2.043,8.521,0.946,5,0.316,3,100,0,0,91.815,0,0,0.030641034143671
"576",0,0,7,0,-1,3.759,634.057,177.006,120.765,293.193,43.093,1110.566,1,5.25,0.0127219,0.00828,0.8179621,36.596,11.964,16.566,9.168,3.723,-4.958,-5.337,-5.876,709.065,-0.956,587.52,-2.04,8.52,0.962,5,0.315,3,100,0,0,92.369,0,0,0.0358838399063665
"577",0,0,5,0,1,2.892,702.317,359.465,108.492,171.065,63.296,1216.172,2,6.25,0.0068786,0.0125853,0.7845643,40.94,12.45,19.798,11.316,3.308,-4.951,-3.947,-6.56,231.192,-0.359,249.744,-4.499,8.624,1.081,4,0.441,3,88.625,0,0,83.514,0,0,0.000134141935890589
"578",0,0,5,0,1,4.511,700.109,367.187,99.751,170.118,63.052,1215.752,2,6.25,0.0167413,0.0126249,0.7868577,40.915,12.37,19.888,11.244,3.366,-4.912,-3.947,-6.518,279.81,-0.259,306.024,-4.341,8.47,1.04,4,0.441,3,90.446,0,0,82.798,0,0,0.000210992083355586
"579",0,0,5,0,1,4.166,701.575,368.556,101.434,168.303,63.282,1219.672,2,6.25,0.0142269,0.0125986,0.7869008,41.054,12.409,19.911,11.247,3.377,-4.938,-3.947,-6.509,269.71,-0.276,294.954,-4.379,8.623,1.097,4,0.451,3,90.227,0,0,82.151,0,0,0.000182264628485913
"580",0,0,5,0,1,5.085,703.538,361.625,112.255,166.61,63.048,1218.712,2,6.25,0.021215,0.0125634,0.7842926,40.999,12.469,20.025,11.314,3.291,-4.971,-3.947,-6.543,212.953,-0.401,227.805,-4.584,8.443,1.017,4,0.447,3,87.889,0,0,84.258,0,0,0.000105348953585711
"581",1,0,7,0,-2,13.92,797.268,418.847,190.59,187.831,0,1408.266,2,8,0.1375894,0.0141906,0.7621088,47.504,14.662,24.83,15.214,2.892,-5.836,-5.084,-4.903,100.396,-2.046,65.653,-3.698,9.701,0.887,4,0.193,3,79.703,0,23.47,145.366,0,1,0.000130322080261426
"582",0,0,7,0,-2,7.27,708.005,381.615,172.446,152.33,1.613,1335.647,2,8,0.0395742,0.0159797,0.8284318,44.259,13.359,22.497,13.427,2.587,-4.87,-5.084,-3.66,201.234,-1.53,102.818,-3.489,9.634,0.804,4,0.06,3,83.327,0,7.148,146.451,0,0,0.00194901148560395
"583",0,0,10,0,1,3.411,666.812,329.604,26.134,311.074,0,1246.726,0,4,0.0093348,0,0.8401216,40.29,12.169,15.06,5.352,5.137,-3.911,-4.396,-6.329,1396.288,0.113,785.11,-2.008,9.227,-0.177,3,0.743,3,100,0,0,29.99,1,0,0.425775703558215
"584",0,0,10,0,1,2.944,707.164,381.486,25.216,300.463,0,1279.731,0,4,0.0067745,0,0.8061026,41.509,12.43,15.301,5.37,5.346,-4.676,-4.396,-6.829,1424.546,0.101,802.298,-2.028,9.196,-0.048,3,0.838,3,100,0,0,30.021,1,0,0.0698289938612595
"585",1,0,6,1,-1,5.656,707.467,74.23,136.697,402.909,93.632,1265.985,2,4.45,0.0252687,0.0088955,0.7999774,44.506,13.67,21.042,11.114,5.065,-6.811,-6.618,-6.69,500.731,-0.992,763.089,-2.043,8.806,0.329,3,0.864,1,91.961,93.632,0,73.972,1,1,0.00057243731311428
"586",1,0,2,0,-2,12.937,582.394,142.182,179.011,207.8,53.401,1026.825,3,8.5,0.1630023,0.0252792,0.8451729,35.64,11.534,23.399,16.096,1.241,-3.76,-4.163,-5.028,198.766,-1.097,169.228,-3.895,9.302,1,2,-0.218,3,75.349,0,0,103.639,0,0,0.00432918884976728
"587",0,0,2,0,-2,12.135,575.583,140.004,175.365,206.803,53.41,1022.067,3,8.5,0.1440839,0.0255783,0.85253,35.44,11.476,23.074,16.048,1.247,-3.76,-4.163,-4.904,215.234,-1.035,184.453,-3.831,9.282,1.009,2,-0.218,3,76.002,0,0,103.235,0,0,0.00629795948066488
"588",1,0,4,0,0,3.85,642.042,41.902,78.317,521.822,0,1217.221,0,6,0.012176,0,0.8587128,44.974,13.767,18.68,10.374,4.383,-4.591,-6.157,-6.307,1791.497,-0.386,929.066,-0.741,8.967,0.354,6,0.377,3,100,0,0,49.779,0,0,1.82380506896649
"589",1,0,4,0,0,3.907,643.294,41.784,76.09,525.421,0,1219.018,0,6,0.012521,0,0.8578843,45.08,13.792,18.714,10.386,4.415,-4.615,-6.157,-6.337,1880.787,-0.367,979.216,-0.687,8.96,0.346,6,0.382,3,100,0,0,49.103,0,0,1.9542173400616
"590",1,0,4,0,0,3.884,641.866,42.088,77.157,522.621,0,1217.867,0,6,0.0123878,0,0.8592523,45.008,13.771,18.692,10.371,4.396,-4.588,-6.157,-6.302,1837.487,-0.374,954.872,-0.716,8.97,0.345,6,0.379,3,100,0,0,48.986,0,0,1.9432323159801
"591",0,0,4,0,-1,8.172,501.156,36.038,91.118,268.239,105.76,858.736,2,2.5,0.0777745,0.0070548,0.871831,28.206,9.954,14.83,7.916,4.501,-5.337,-4.803,-3.078,343.102,-0.217,751.601,-1.87,8.711,0.731,4,0.048,3,100,0,0,58.151,0,0,0.305330149627405
"592",0,0,5,0,0,4.954,632.454,31.358,97.378,338.819,164.899,1090.953,2,4.75,0.0224963,0.0106213,0.8103513,37.531,10.782,18.807,10.771,4.322,-5.878,-6.329,-6.217,1181.583,-0.322,4742.347,-1.641,8.734,0.71,3,0.393,3,100,164.899,0,71.174,0,1,0.0120265793775047
"593",0,0,5,0,-1,4.755,607.123,319.165,108.351,179.607,0,1081.071,1,5,0.0209146,0.0082356,0.8390565,35.615,10.512,15.877,10.068,3.329,-3.977,-3.375,-1.811,156.804,-0.764,131.828,-2.404,9.44,-0.291,3,-0.104,3,85.73,0,22.193,75.256,0,0,0.131207254403095
"594",0,0,3,1,-1,12.073,617.73,347.841,130.779,139.11,0,1047.615,1,5,0.1391385,0.0080942,0.8075463,35.174,10.021,17.332,10.523,2.419,-4.355,-3.54,-3.935,369.078,-0.954,269.347,-3.152,9.877,0.91,1,0.039,3,87.053,0,23.694,92.09,0,0,0.00827947887474417
"595",1,0,3,1,-1,12.823,622.97,351.413,133.946,137.612,0,1060.36,1,5,0.1550796,0.0080261,0.8072354,35.669,10.16,17.738,10.998,2.465,-4.247,-3.54,-3.933,307.994,-0.988,249.953,-3.215,9.865,0.961,1,0.073,3,85.917,0,29.793,95.515,0,0,0.00919926595312659
"596",0,0,12,0,-2,4.254,792.765,377.728,238.566,129.64,46.831,1461.914,2,10.9,0.012378,0.0194445,0.7857816,45.885,14.647,24.459,15.166,2.982,-4.924,-5.336,-3.809,13.714,-2.621,11.011,-4.307,9.346,0.98,4,-0.251,2,64.759,46.831,0,145.673,0,1,0.00028267883418381
"597",0,0,4,1,-2,5.737,606.954,127.831,168.401,256.821,53.9,1055.944,3,8.5,0.0311709,0.0242563,0.8262347,35.989,12.052,21.617,15.975,1.562,-4.072,-4.038,-5.568,250.585,-1.19,218.755,-3.334,8.637,1.226,1,-0.262,3,79.027,0,0,102.266,0,0,0.0143523379502892
"598",0,0,4,1,-2,2.673,605.225,129.622,166.556,255.178,53.868,1057.082,3,8.5,0.00676,0.0243256,0.8291907,36.019,12.042,21.292,15.947,1.583,-4.046,-4.038,-5.513,260.884,-1.16,228.396,-3.306,8.619,1.218,1,-0.256,3,79.464,0,0,101.91,0,0,0.0162595688694405
"599",0,0,3,0,0,5.862,600.164,166.809,74.99,226.481,131.883,1014.6,2,3.5,0.0338682,0.0082473,0.8136266,34.687,11.077,16.898,10.607,3.6,-5.136,-6.183,-4.253,1285.972,-0.049,5304.025,-1.816,8.981,0.81,4,0.166,3,100,0,22.052,58.26,0,0,0.0462206453112056
"600",0,0,3,0,0,7.973,600.263,166.816,72.494,229.054,131.899,1014.61,2,3.5,0.0626583,0.008246,0.8134974,34.712,11.077,17.292,10.574,3.62,-5.153,-6.183,-4.268,1369.544,-0.024,5626.949,-1.761,8.931,0.791,4,0.166,3,100,0,21.59,57.518,0,0,0.0504441267921152
